Formula,P2O5,SiO2,TiO2,Al2O3,Cr2O3,MgO,CaO,MnO,FeO,Na2O,K2O,S,Mo,Total,"O=S , Mo",Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,Geo Specie
6 / 2 . ,0.045,53.4033,0.2964,25.6953,0.0029,1.8645,9.7062,0.0873,3.6159,3.8169,0.9808,0.0112,0,99.5259,0.0028,99.5231,-14518,-26500,186, , ,CR6_Bulk_27,7312.02,11.7315,127,2/21/2020 8:24,Glass (on the basis of 24 O)
6 / 3 . ,0.3358,54.701,1.7743,17.9002,0.0473,3.2385,8.1795,0.1804,8.1679,3.2563,1.3041,0.01,0.0292,99.1245,0.0049,99.1195,-14389,-26298,185, , ,CR6_Bulk_28,7080.74,12.2506,128,2/21/2020 8:30,Glass (on the basis of 24 O)
6 / 4 . ,0.3343,54.0417,2.2758,14.1206,0.0448,3.961,7.0556,0.2404,11.8649,3.0638,1.6492,0.01,0,98.6619,0.0025,98.6594,-14304,-26080,184, , ,CR6_Bulk_29,6847.41,12.591,129,2/21/2020 8:35,Glass (on the basis of 24 O)
6 / 5 . ,0.3458,54.1236,1.6596,18.8016,0.0387,3.269,7.55,0.1249,8.4775,3.2954,1.4558,0,0,99.1418,0,99.1418,-14189,-26704,182, , ,CR6_Bulk_30,7416.52,12.2298,130,2/21/2020 8:40,Glass (on the basis of 24 O)
6 / 6 . ,0.354,55.0009,1.8874,18.7656,0,2.8189,8.7764,0.0791,6.7311,3.4018,1.0275,0.0279,0.1938,99.0642,0.0231,99.0411,-14612,-26983,191, , ,CR6_Bulk_31,7801.06,12.1422,131,2/21/2020 8:46,Glass (on the basis of 24 O)
6 / 7 . ,0.1123,48.8781,1.0164,24.5719,0.0435,3.2923,9.564,0.1241,7.5027,2.973,0.9268,0.0178,0.2283,99.2513,0.0235,99.2278,-14643,-27216,185, , ,CR6_Bulk_32,8032.89,12.2502,132,2/21/2020 8:51,Glass (on the basis of 24 O)
6 / 8 . ,0.385,54.1783,2.082,9.2339,0,8.48,7.3091,0.2681,13.1308,2.2749,0.8436,0.0011,0.0419,98.2287,0.0038,98.225,-15001,-27183,184, , ,CR6_Bulk_33,8113.02,12.6538,133,2/21/2020 8:56,Glass (on the basis of 24 O)
6 / 9 . ,0.3021,53.1209,1.4753,19.5994,0,3.5799,8.7565,0.115,7.1957,3.136,1.2453,0.0212,0.1583,98.7054,0.0185,98.6869,-14761,-27484,188, , ,CR6_Bulk_34,8323.7,12.1357,134,2/21/2020 9:01,Glass (on the basis of 24 O)
6 / 10 . ,0.4129,56.5224,1.8817,17.1895,0.0142,3.6035,6.8267,0.1186,7.9399,3.3046,1.497,0.0101,0.1888,99.5097,0.0182,99.4915,-14606,-27496,185, , ,CR6_Bulk_35,8290.87,12.2471,135,2/21/2020 9:07,Glass (on the basis of 24 O)
6 / 11 . ,0.1599,53.9333,1.4562,11.9786,0.089,12.3084,5.5045,0.2171,10.3671,2.085,0.7248,0.0246,0.3511,99.1994,0.0354,99.164,-13691,-27516,188, , ,CR6_Bulk_36,8104.91,12.3844,136,2/21/2020 9:12,Glass (on the basis of 24 O)
6 / 12 . ,0.2239,54.5488,1.1798,19.7077,0.0124,3.9493,9.3747,0.1379,6.405,3.1111,0.7611,0,0.0362,99.448,0.003,99.445,-13332,-27539,184, , ,CR6_Bulk_37,8074.23,12.0791,137,2/21/2020 9:17,Glass (on the basis of 24 O)
6 / 13 . ,0.3207,53.9865,1.6662,9.6166,0.0395,8.1331,12.4935,0.2376,10.0566,1.8009,0.5094,0.0154,0.0545,98.9305,0.0084,98.9222,-13180,-28055,190, , ,CR6_Bulk_38,8569.53,12.6493,138,2/21/2020 9:23,Glass (on the basis of 24 O)
6 / 14 . ,0.6663,58.9332,2.6094,13.5683,0,2.7207,6.36,0.11,9.1455,3.0696,1.9306,0.0022,0.0276,99.1432,0.0029,99.1404,-12866,-28763,194, , ,CR6_Bulk_39,9249.9,12.3418,139,2/21/2020 9:28,Glass (on the basis of 24 O)
6 / 15 . ,0.3746,53.1818,2.8682,15.115,0.0365,4.1305,7.9188,0.1553,10.8846,2.7469,1.3137,0,0.0043,98.73,0.0004,98.7297,-13584,-28756,190, , ,CR6_Bulk_40,9313.86,12.5499,140,2/21/2020 9:33,Glass (on the basis of 24 O)
6 / 16 . ,0.388,49.665,3.7276,13.2796,0.0796,5.0535,7.9954,0.1776,14.3815,2.4075,1.065,0,0,98.2203,0,98.2203,-13649,-28619,191, , ,CR6_Bulk_41,9187.44,12.923,141,2/21/2020 9:39,Glass (on the basis of 24 O)
6 / 17 . ,0.4265,57.7373,2.1398,17.2797,0,2.3212,6.9851,0.0916,7.0905,3.7024,1.5812,0,0,99.3554,0,99.3554,-13905,-28610,188, , ,CR6_Bulk_42,9219.41,12.068,142,2/21/2020 9:44,Glass (on the basis of 24 O)
6 / 18 . ,0.1058,52.5607,1.2303,22.1672,0.0028,2.6331,9.0939,0.104,7.2588,3.5734,1.2417,0.0256,0.0275,100.025,0.0087,100.0163,-14165,-28545,190, , ,CR6_Bulk_43,9204.32,12.2466,143,2/21/2020 9:49,Glass (on the basis of 24 O)
6 / 19 . ,0.2282,51.3921,1.9033,15.2243,0.0347,5.8101,10.5495,0.1555,10.4573,2.3102,0.8224,0.0188,0.1414,99.0477,0.0165,99.0313,-14346,-28313,189, , ,CR6_Bulk_44,9016.39,12.6431,144,2/21/2020 9:55,Glass (on the basis of 24 O)
6 / 20 . ,0.1832,53.1062,1.0539,6.3136,0.1371,17.3705,5.1406,0.3053,13.8205,1.4347,0.3446,0,0,99.2102,0,99.2102,-11908,-28248,191, , ,CR6_Bulk_45,8727.22,12.587,145,2/21/2020 10:00,Glass (on the basis of 24 O)
6 / 21 . ,0.2574,52.5452,1.3564,20.6062,0.0352,3.3918,10.1567,0.1356,6.3485,3.0916,1.1253,0,0,99.0498,0,99.0498,-12165,-28643,190, , ,CR6_Bulk_46,9114.17,12.0855,146,2/21/2020 10:05,Glass (on the basis of 24 O)
6 / 22 . ,0.2159,52.3085,2.0409,14.5097,0.0401,7.8982,6.5951,0.1893,12.2386,2.4261,0.8591,0.0044,0.0215,99.3474,0.0029,99.3445,-11916,-28510,192, , ,CR6_Bulk_47,8988.6,12.6146,147,2/21/2020 10:10,Glass (on the basis of 24 O)
6 / 23 . ,0.3126,54.0606,2.0453,16.9515,0.0426,4.5557,8.9241,0.1594,7.535,2.8781,1.0282,0.0056,0.6855,99.1841,0.0585,99.1256,-11467,-27638,191, , ,CR6_Bulk_48,8151.55,12.4273,148,2/21/2020 10:16,Glass (on the basis of 24 O)
6 / 24 . ,0.5468,56.6101,2.539,14.7873,0.0038,3.2926,7.1032,0.0835,9.2144,3.1007,1.6316,0.0178,0,98.9308,0.0044,98.9264,-11664,-27583,189, , ,CR6_Bulk_49,8078.75,12.3186,149,2/21/2020 10:21,Glass (on the basis of 24 O)
6 / 25 . ,0.418,56.7489,1.8732,18.2048,0.038,2.1837,6.9037,0.1174,6.98,3.6299,1.9089,0,0.0043,99.0108,0.0004,99.0105,-11983,-27591,190, , ,CR6_Bulk_50,8067.6,12.0617,150,2/21/2020 10:26,Glass (on the basis of 24 O)
7 / 1 . ,0.2126,52.4699,1.4755,21.8943,0.0462,3.2617,8.7837,0.1023,7.008,3.5133,0.9666,0.0043,0.0953,99.8337,0.009,99.8247,-12917,-34958,192, , ,CR1A_Bulk_Pt26,15440.04,12.1982,151,2/21/2020 10:32,Glass (on the basis of 24 O)
7 / 2 . ,0.3815,52.8394,2.0926,16.4142,0.0494,6.6442,7.9764,0.1532,9.8971,2.5518,0.7676,0,0,99.7673,0,99.7673,-12795,-34644,193, , ,CR1A_Bulk_Pt27,15121.88,12.4488,152,2/21/2020 10:38,Glass (on the basis of 24 O)
7 / 3 . ,0.3593,52.3356,1.8161,18.3272,0.054,5.9694,7.857,0.1482,8.7587,2.7904,0.8116,0.0032,0.0633,99.294,0.0061,99.2879,-12939,-34589,196, , ,CR1A_Bulk_Pt28,15072.25,12.2864,153,2/21/2020 10:43,Glass (on the basis of 24 O)
7 / 4 . ,0.3145,52.3364,2.4861,17.0986,0.0296,5.0842,8.0755,0.128,9.9386,2.7192,0.8324,0,0.1106,99.1539,0.0092,99.1446,-12880,-34399,193, , ,CR1A_Bulk_Pt29,14880.03,12.4687,154,2/21/2020 10:48,Glass (on the basis of 24 O)
7 / 5 . ,0.294,52.8113,1.7978,18.403,0.0396,5.792,7.8893,0.1379,8.7758,2.7462,0.8627,0.017,0,99.5667,0.0043,99.5625,-12997,-34549,194, , ,CR1A_Bulk_Pt30,15034.83,12.2871,155,2/21/2020 10:54,Glass (on the basis of 24 O)
7 / 6 . ,0.3299,52.8076,1.6646,21.4938,0.0091,3.414,8.434,0.0807,6.8723,3.4167,1.0037,0,0.0313,99.5576,0.0026,99.555,-13171,-34622,194, , ,CR1A_Bulk_Pt31,15116.69,12.1208,156,2/21/2020 10:59,Glass (on the basis of 24 O)
7 / 7 . ,0.0126,55.0033,0.2103,26.0092,0,1.0523,9.2509,0.0309,2.4231,4.3038,0.9521,0,0.0258,99.2742,0.0021,99.272,-14550,-34493,195, , ,CR1A_Bulk_Pt32,15130.07,11.5423,157,2/21/2020 11:04,Glass (on the basis of 24 O)
7 / 8 . ,0.0367,56.8363,0.0175,26.976,0.0148,0.0438,9.7674,0,0.5011,4.9558,0.7981,0,0.0275,99.975,0.0023,99.9727,-14590,-34331,192, , ,CR1A_Bulk_Pt33,14975.92,11.4083,158,2/21/2020 11:09,Glass (on the basis of 24 O)
7 / 9 . ,0.3653,54.755,1.9548,21.475,0.0586,1.9089,9.0676,0.0473,4.5741,3.9864,0.8519,0.0075,0.0496,99.102,0.006,99.096,-14813,-34164,192, , ,CR1A_Bulk_Pt34,14846.88,11.8676,159,2/21/2020 11:15,Glass (on the basis of 24 O)
7 / 10 . ,0.0247,55.4911,0.1075,26.8692,0.024,0.5825,9.3758,0.0234,1.3971,4.5163,0.8541,0,0,99.2656,0,99.2656,-14545,-34108,195, , ,CR1A_Bulk_Pt35,14748.67,11.4093,160,2/21/2020 11:20,Glass (on the basis of 24 O)
7 / 11 . ,0.0107,56.4747,0.1718,25.5192,0.0222,0.7701,8.9897,0,2.0307,4.4147,1.0859,0.0108,0.0058,99.5062,0.0032,99.503,-14462,-34157,191, , ,CR1A_Bulk_Pt36,14784.78,11.5097,161,2/21/2020 11:25,Glass (on the basis of 24 O)
7 / 12 . ,0.0531,54.9866,0.1752,25.7527,0.0156,1.2558,9.2642,0.0339,3.036,3.999,0.9217,0.0151,0.068,99.5768,0.0094,99.5674,-14607,-33996,189, , ,CR1A_Bulk_Pt37,14647.57,11.6594,162,2/21/2020 11:31,Glass (on the basis of 24 O)
7 / 13 . ,0.3905,52.1852,1.942,19.1422,0.0153,4.4626,8.2336,0.1364,8.055,3.1251,0.8583,0.0011,0.1552,98.7027,0.0132,98.6895,-14299,-34184,194, , ,CR1A_Bulk_Pt38,14788.67,12.2025,163,2/21/2020 11:36,Glass (on the basis of 24 O)
7 / 14 . ,0.4638,52.045,1.8572,19.2269,0.037,4.2478,8.3194,0.1252,8.3808,3.0952,0.9133,0.0043,0.0649,98.7808,0.0065,98.7743,-14186,-34308,192, , ,CR1A_Bulk_Pt39,14896.88,12.2247,164,2/21/2020 11:41,Glass (on the basis of 24 O)
7 / 15 . ,0.3161,51.7623,1.4921,17.9152,0.0423,7.1643,8.0395,0.1118,8.864,2.9787,0.8337,0.0064,0.1438,99.6703,0.0136,99.6567,-14474,-33753,192, , ,CR1A_Bulk_Pt40,14387.01,12.348,165,2/21/2020 11:47,Glass (on the basis of 24 O)
7 / 16 . ,0.3567,52.0662,1.9264,14.3815,0.0886,8.9008,7.463,0.1485,10.5079,2.4659,0.726,0.0042,0.321,99.3566,0.0278,99.3288,-14503,-33588,193, , ,CR1A_Bulk_Pt41,14228.36,12.5468,166,2/21/2020 11:52,Glass (on the basis of 24 O)
7 / 17 . ,0.4257,50.8585,2.5759,17.4128,0.0313,5.0161,8.0943,0.1261,10.8537,2.7962,0.8083,0.0011,0.1747,99.1745,0.0148,99.1597,-11976,-34332,196, , ,CR1A_Bulk_Pt42,14805.76,12.5996,167,2/21/2020 11:57,Glass (on the basis of 24 O)
7 / 18 . ,0.4821,50.5217,2.4206,18.913,0.0296,4.1508,8.0439,0.1144,9.8787,2.974,0.8561,0.0201,0.0728,98.4778,0.0111,98.4667,-12130,-34252,192, , ,CR1A_Bulk_Pt43,14723.11,12.3747,168,2/21/2020 12:03,Glass (on the basis of 24 O)
7 / 19 . ,0.3227,51.2067,2.2706,17.3284,0.0349,5.4222,7.9977,0.1633,10.3027,2.7873,0.798,0.0064,0.2624,98.9031,0.0235,98.8797,-12096,-34122,196, , ,CR1A_Bulk_Pt44,14593.58,12.5155,169,2/21/2020 12:08,Glass (on the basis of 24 O)
7 / 20 . ,0.355,51.5453,2.059,17.4013,0.017,5.843,7.5747,0.1796,10.4493,2.7296,0.8979,0.0223,0.3943,99.4684,0.0384,99.43,-12024,-33933,195, , ,CR1A_Bulk_Pt45,14405.84,12.6039,170,2/21/2020 12:13,Glass (on the basis of 24 O)
7 / 21 . ,0.3451,51.1982,2.1788,17.0094,0.0206,5.5194,7.9714,0.1604,10.5185,2.7794,0.8191,0.0127,0.3149,98.8479,0.0294,98.8184,-12086,-33913,197, , ,CR1A_Bulk_Pt46,14384.76,12.5438,171,2/21/2020 12:18,Glass (on the basis of 24 O)
7 / 22 . ,0.3952,52.4763,2.1876,17.1686,0.0583,5.2312,7.4866,0.1524,9.889,2.9485,0.9453,0.0021,0.1181,99.0593,0.0104,99.0489,-12052,-33597,196, , ,CR1A_Bulk_Pt47,14069.37,12.4171,172,2/21/2020 12:24,Glass (on the basis of 24 O)
7 / 23 . ,0.5037,52.6269,1.5379,19.6573,0,5.073,7.6521,0.1276,8.06,3.0576,0.9247,0.0149,0.0379,99.2735,0.0069,99.2666,-12129,-33371,196, , ,CR1A_Bulk_Pt48,13842.2,12.1713,173,2/21/2020 12:29,Glass (on the basis of 24 O)
7 / 24 . ,0.4584,50.7534,2.6348,16.208,0.0062,5.6368,8.1429,0.1644,11.8401,2.4628,0.8293,0.0053,0.0318,99.1741,0.004,99.1702,-12479,-33279,199, , ,CR1A_Bulk_Pt49,13750.11,12.6764,174,2/21/2020 12:34,Glass (on the basis of 24 O)
7 / 25 . ,0.3488,51.4733,2.0722,17.6705,0.0323,5.4297,8.388,0.1436,9.6206,2.7733,0.7878,0,0.2678,99.0078,0.0223,98.9855,-12320,-33912,198, , ,CR1A_Bulk_Pt50,14382.05,12.4586,175,2/21/2020 12:40,Glass (on the basis of 24 O)
8 / 1 . ,0.3582,53.3073,2.0959,16.8396,0.0045,4.5238,8.1938,0.1392,8.7664,3.1916,1.196,0,0.2147,98.831,0.0179,98.8131,-6308,-27414,193, , ,CR7_Bulk_Pt26,9907.49,12.3434,176,2/21/2020 12:45,Glass (on the basis of 24 O)
8 / 2 . ,0.2576,52.9009,1.2279,19.721,0.0145,4.2479,8.8535,0.1515,7.3547,3.3037,1.2118,0.0192,0.1511,99.4152,0.0174,99.3978,-6290,-27089,191, , ,CR7_Bulk_Pt27,9662.07,12.2191,177,2/21/2020 12:51,Glass (on the basis of 24 O)
8 / 3 . ,0.3189,52.3972,2.0049,15.7913,0.0458,5.3609,7.9882,0.1575,9.4535,2.9942,1.1233,0.0106,1.0542,98.7004,0.0905,98.6098,-6504,-26939,192, , ,CR7_Bulk_Pt28,9411.73,12.6527,178,2/21/2020 12:56,Glass (on the basis of 24 O)
8 / 4 . ,0.3348,52.8193,1.9773,15.3237,0.0126,5.2298,7.8828,0.1873,9.2887,2.7979,1.1573,0.0201,1.0762,98.1078,0.0948,98.013,-6785,-26826,193, , ,CR7_Bulk_Pt29,9150.74,12.575,179,2/21/2020 13:01,Glass (on the basis of 24 O)
8 / 5 . ,0.3119,53.8852,1.8375,15.4413,0.0378,5.2088,7.9091,0.1316,8.9975,2.9176,1.2695,0,0.7855,98.7334,0.0655,98.6679,-6705,-26686,191, , ,CR7_Bulk_Pt30,9088.61,12.5144,180,2/21/2020 13:07,Glass (on the basis of 24 O)
8 / 6 . ,0.333,52.8016,1.8447,17.664,0.0315,4.0332,7.6976,0.1562,8.8401,3.2915,1.204,0.0265,0.8786,98.8026,0.0799,98.7227,-7251,-26468,189, , ,CR7_Bulk_Pt31,8585.44,12.5199,181,2/21/2020 13:12,Glass (on the basis of 24 O)
8 / 7 . ,0.3789,53.4055,1.9603,15.9204,0.0225,4.3676,7.7009,0.1107,9.0093,3.0174,1.3035,0.0021,1.2565,98.4557,0.1053,98.3504,-7456,-26314,190, , ,CR7_Bulk_Pt32,8340.58,12.6286,182,2/21/2020 13:17,Glass (on the basis of 24 O)
8 / 8 . ,0.4249,53.9314,1.9733,15.5645,0.0315,4.783,7.7411,0.1419,9.0519,3.0998,1.2988,0.0042,0.9648,99.0113,0.0815,98.9298,-7570,-26175,191, , ,CR7_Bulk_Pt33,8161.22,12.6078,183,2/21/2020 13:23,Glass (on the basis of 24 O)
8 / 9 . ,0.3769,54.2907,1.9196,16.3497,0.0018,4.4677,7.8406,0.1391,8.1729,3.1732,1.334,0.0095,1.0496,99.1253,0.0899,99.0354,-7801,-26625,191, , ,CR7_Bulk_Pt34,8405.53,12.5502,184,2/21/2020 13:28,Glass (on the basis of 24 O)
8 / 10 . ,0.3526,54.0235,1.9969,16.1194,0.0117,4.3583,7.3438,0.148,8.7952,2.9653,1.4245,0.0042,0.8565,98.4001,0.0725,98.3276,-8440,-27125,193, , ,CR7_Bulk_Pt35,8523.29,12.466,185,2/21/2020 13:33,Glass (on the basis of 24 O)
8 / 11 . ,0.3741,54.4149,1.8979,14.6361,0.0099,6.1052,6.8426,0.2058,9.8531,2.6528,1.2949,0.0042,0.5927,98.8843,0.0505,98.8338,-8263,-27056,195, , ,CR7_Bulk_Pt36,8544.23,12.5149,186,2/21/2020 13:39,Glass (on the basis of 24 O)
8 / 12 . ,0.3148,54.3928,1.8482,14.2904,0.0314,6.4548,6.4466,0.1901,9.9998,2.781,1.3936,0.0202,0.5905,98.7541,0.0543,98.6998,-8234,-26876,195, , ,CR7_Bulk_Pt37,8400.14,12.4964,187,2/21/2020 13:44,Glass (on the basis of 24 O)
8 / 13 . ,0.3221,53.6818,1.8202,13.5012,0.0098,7.7762,6.5086,0.2105,10.9651,2.6382,1.1828,0.0032,0.5798,99.1996,0.0491,99.1505,-8134,-26686,194, , ,CR7_Bulk_Pt38,8284.42,12.6343,188,2/21/2020 13:49,Glass (on the basis of 24 O)
8 / 14 . ,0.2777,50.8842,1.7987,11.1402,0.053,10.4747,6.4843,0.2782,13.9994,2.0997,0.7827,0.0074,0.79,99.0703,0.0677,99.0026,-8145,-26416,192, , ,CR7_Bulk_Pt39,8046.64,13.0043,189,2/21/2020 13:55,Glass (on the basis of 24 O)
8 / 15 . ,0.2834,51.4267,1.8861,11.8778,0.0443,9.7619,6.2831,0.2451,12.8087,2.1824,0.9031,0.0211,1.1673,98.8912,0.1026,98.7885,-8064,-26303,191, , ,CR7_Bulk_Pt40,7992.87,12.9681,190,2/21/2020 14:00,Glass (on the basis of 24 O)
8 / 16 . ,0.2902,51.641,1.8135,11.9444,0.039,9.548,6.6116,0.215,13.0691,2.1647,0.8703,0.0085,0.8378,99.0531,0.072,98.9812,-8248,-26296,192, , ,CR7_Bulk_Pt41,7890.71,12.9214,191,2/21/2020 14:05,Glass (on the basis of 24 O)
8 / 17 . ,0.3763,52.4103,1.9504,14.779,0.0295,6.7351,7.6034,0.1669,10.6856,2.795,1.133,0.0116,0.829,99.505,0.072,99.433,-8630,-26638,191, , ,CR7_Bulk_Pt42,8003.26,12.7798,192,2/21/2020 14:10,Glass (on the basis of 24 O)
8 / 18 . ,0.414,52.5133,1.7984,15.1102,0.0502,6.5706,7.5807,0.1597,10.238,2.8013,1.1291,0.0042,0.5019,98.8716,0.0429,98.8287,-8657,-26906,193, , ,CR7_Bulk_Pt43,8230.2,12.55,193,2/21/2020 14:16,Glass (on the basis of 24 O)
8 / 19 . ,0.3594,53.903,1.8096,15.6543,0.0332,5.7516,7.2485,0.1435,9.0928,2.9792,1.2883,0.0074,0.77,99.0408,0.0661,98.9747,-8792,-26737,190, , ,CR7_Bulk_Pt44,8018.97,12.5136,194,2/21/2020 14:21,Glass (on the basis of 24 O)
8 / 20 . ,0.6044,52.4131,1.9595,15.8277,0.0036,6.0076,8.4321,0.1667,9.6599,2.967,1.1191,0.0032,0,99.1638,0.0008,99.163,-9004,-26846,191, , ,CR7_Bulk_Pt45,8027.52,12.3867,195,2/21/2020 14:26,Glass (on the basis of 24 O)
8 / 21 . ,0.2737,55.014,1.9408,14.0535,0.0036,5.9799,6.8804,0.1345,9.8999,2.7156,1.2941,0,0.4856,98.6756,0.0405,98.6351,-9188,-26278,190, , ,CR7_Bulk_Pt46,7434.43,12.4583,196,2/21/2020 14:32,Glass (on the basis of 24 O)
8 / 22 . ,0.2806,55.4772,1.9629,14.9983,0.0279,4.8032,6.945,0.1594,8.9825,2.9665,1.4063,0.0053,0.5537,98.5688,0.0475,98.5213,-9274,-26484,193, , ,CR7_Bulk_Pt47,7587.11,12.387,197,2/21/2020 14:37,Glass (on the basis of 24 O)
8 / 23 . ,0.3833,54.3918,2.2148,16.1725,0,3.3855,7.3701,0.1384,8.709,3.1825,1.4488,0,0.9321,98.3289,0.0777,98.2512,-9371,-26595,193, , ,CR7_Bulk_Pt48,7651.22,12.4841,198,2/21/2020 14:42,Glass (on the basis of 24 O)
8 / 24 . ,0.3887,52.6589,2.1117,15.9114,0.0405,5.0313,8.2841,0.1688,8.9493,2.9742,1.1811,0,0.8611,98.561,0.0718,98.4892,-9381,-27184,190, , ,CR7_Bulk_Pt49,8194.62,12.5478,199,2/21/2020 14:48,Glass (on the basis of 24 O)
8 / 25 . ,0.3436,53.6885,1.7414,15.2819,0.0622,6.0679,8.3621,0.1474,8.5918,2.7908,1.0553,0.0032,0.6144,98.7505,0.052,98.6985,-9625,-27291,191, , ,CR7_Bulk_Pt50,8211.73,12.4263,200,2/21/2020 14:53,Glass (on the basis of 24 O)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
