Formula,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,ZnO,Na2O,K2O,S,Total,Mineral,Comment
2 / 1 . ,,0.1379,18.174,2.8578,0.6886,1.1726,2.3111,0.0648,0.3639,69.0106,0.0785,,,,94.8599,Ti-Magnetite,CR1B1_3
3 / 1 . ,,0.0855,17.3962,2.9597,0.6016,0.4486,3.5336,0.0423,0.3388,70.1145,0.0568,,,,95.5776,Ti-Magnetite,CR1B1_4
4 / 1 . ,0.7698,63.3858,3.1383,14.1568,,0,0.9677,3.7104,0.1386,7.6005,,3.7132,3.0711,0,100.6522,Glass,CR1B1_5
5 / 1 . ,0.6336,62.2344,1.7488,14.3868,,0,0.7592,4.7946,0.085,4.6065,,4.0769,2.934,0.0011,96.2608,Glass,CR1B1_6
6 / 1 . ,0.0404,55.0307,0.1815,26.7056,,0.0009,0.1562,10.5815,0,1.2635,,5.0629,0.4979,0,99.5212,Plagioclase,CR1B1_7
7 / 1 . ,0.0358,55.507,0.1795,27.429,,0,0.1871,10.621,0.0151,1.2154,,4.7718,0.5477,0.0125,100.522,Plagioclase,CR1B1_8
8 / 1 . ,1.0371,58.2483,4.2565,10.8291,,0.0191,1.3807,3.7353,0.1315,13.4953,,2.0948,3.2296,0.0093,98.4667,Glass,CR1B1_9
9 / 1 . ,0.0101,51.1449,1.3482,2.5946,,0.0511,15.6073,17.2184,0.3167,11.878,,0.3171,0.0376,0,100.5239,Pyroxene,CR1B1_10
10 / 1 . ,0.7825,60.0655,3.1298,13.3605,,0,1.0228,4.2889,0.1126,9.8766,,3.5603,2.7531,0.0126,98.9652,Glass,CR1B1_11
11 / 1 . ,1.0765,62.6867,4.1654,11.7814,,0,0.4056,2.5651,0.096,9.3946,,2.4847,3.752,0.0085,98.4164,Glass,CR1B1_12
12 / 1 . ,0.6347,60.8666,1.7888,17.5508,,0.0096,0.468,4.992,0.0578,6.0779,,4.7396,2.2592,0.017,99.4621,Glass,CR1B1_13
13 / 1 . ,0.8326,60.0404,3.5117,13.822,,0,1.6118,4.0118,0.1593,10.978,,3.6745,2.58,0.0042,101.2261,Invalid,CR1B1_14
14 / 1 . ,0.8888,60.3904,3.1497,12.7022,,0.0312,1.2871,4.1196,0.1247,10.7525,,3.0243,3.1496,0.0067,99.6267,Glass,CR1B1_15
15 / 1 . ,0.7911,60.8481,2.7608,13.2816,,0.0135,1.3388,4.2191,0.1821,8.7463,,3.8622,2.8815,0.0086,98.9337,Glass,CR1B1_2 PT1
16 / 1 . ,0.8297,60.4205,3.5608,12.2302,,0.0063,0.8615,3.4408,0.1282,10.4126,,2.8833,3.2279,0.0085,98.0104,Glass,CR1B1_2 PT2
17 / 1 . ,1.0346,63.22,3.1048,12.8093,,0.0239,0.3317,2.8739,0.1216,9.0586,,2.8271,3.8673,0.0105,99.2831,Glass,CR1B1_2 PT3
18 / 1 . ,0.8218,59.6634,3.3932,12.4965,,0,1.0176,4.0043,0.1377,10.8691,,2.5235,3.278,0.0115,98.2168,Glass,CR1B1_2 PT4
19 / 1 . ,0.8766,60.7093,2.9426,13.516,,0,0.8198,3.8259,0.1287,9.1058,,3.4249,3.1231,0.0031,98.4756,Glass,CR1B1_2 PT5
20 / 1 . ,0.8588,60.9666,3.1946,13.7626,,0.0045,0.9428,3.9868,0.1496,8.8923,,3.5828,2.6322,0.0021,98.9758,Glass,CR1B1_2 PT6
21 / 1 . ,,0.108,18.3442,2.8685,0.6185,0.8864,2.1293,0.1113,0.3761,68.7216,0.0937,,,,94.2576,Ti-Magnetite,CR1B1_2 PT7
22 / 1 . ,,0.1057,18.3319,2.7383,0.6552,0.8469,3.0621,0.0574,0.3327,68.0861,0.052,,,,94.2682,Ti-Magnetite,CR1B1_2 PT8
23 / 1 . ,,0.1071,16.8351,3.0666,0.5439,0.3893,3.6028,0.0332,0.3389,69.49,0.0503,,,,94.4572,Ti-Magnetite,CR1B1_2 PT9
22 / 1 . ,0.6606,56.2368,3.1657,12.7783,,0,1.6984,4.0712,0.1461,10.1088,,2.6653,2.9397,0.0213,94.4921,Glass,CR2A2_2 PT1
23 / 1 . ,0.0941,57.7618,0.3952,25.5704,,0,0.2885,9.2325,0,1.5681,,5.6978,0.8776,0,101.4859,Invalid,CR2A2_2 PT2
24 / 1 . ,0.814,53.8808,3.4393,16.813,,0.0204,2.046,5.1987,0.1299,12.6585,,4.4394,2.1151,0.0148,101.5697,Invalid,CR2A2_2 PT3
25 / 1 . ,0.6976,59.7094,3.1172,14.1008,,0,1.2782,4.5568,0.1208,8.9666,,3.7027,2.8778,0.0149,99.1429,Glass,CR2A2_2 PT4
26 / 1 . ,0.0456,52.5357,0.8064,1.5967,,0.0095,21.6469,4.9153,0.4075,18.4546,,0.1105,0.0775,0.0053,100.6116,Pyroxene,CR2A2_2 PT5
27 / 1 . ,0.76,57.3809,2.5148,14.1897,,0,3.1623,6.7796,0.181,11.4318,,4.2396,2.1613,0,102.801,Invalid,CR2A2_2 PT6
28 / 1 . ,0.6529,55.0318,2.9909,15.0001,,0.0243,2.0061,5.7217,0.1802,12.1016,,3.878,2.1024,0.0133,99.7034,Glass,CR2A2_2 PT7
29 / 1 . ,0.6627,59.2459,2.8664,12.8028,,0,1.862,4.7108,0.1167,10.0472,,3.2258,3.1693,0.0116,98.7211,Glass,CR2A2_3 PT1
30 / 1 . ,0.7758,61.2319,3.0007,14.5848,,0,1.657,5.3137,0.1,9.3713,,3.7025,2.7932,0,102.531,Invalid,CR2A2_3 PT2
31 / 1 . ,0.7891,61.7711,3.3076,14.7175,,0.0047,1.4833,4.4222,0.1536,10.6682,,3.8789,2.7169,0.0145,103.9274,Invalid,CR2A2_3 PT3
32 / 1 . ,0.1251,50.4934,1.1785,2.9808,,0.0026,19.1201,8.7,0.4021,16.0393,,0.1903,0.0279,0.0073,99.2674,Pyroxene,CR2A2_3 PT4
33 / 1 . ,0.9963,59.297,2.8873,15.7903,,0,0.7239,4.826,0.0197,5.2423,,4.3997,2.7764,0.0011,96.9599,Glass,CR2A2_3 PT5
9 / 1 . ,,1.031,17.8257,3.6226,0.6128,0.6347,2.4263,0.1575,0.2969,68.3787,0.0805,,,,95.0666,Ti-Magnetite,CR2B1_1 PT9
10 / 1 . ,,3.0744,19.4364,3.0794,0.6452,0.363,2.578,0.1353,0.3237,67.4825,0.0873,,,,97.2053,Ti-Magnetite,CR2B1_2 PT2
11 / 1 . ,0.4914,55.2748,2.5259,9.401,,0.0205,8.2813,11.1181,0.2834,12.7917,,2.4848,1.092,0.0094,103.7744,Invalid,CR2B1_2 PT3
12 / 1 . ,0.1592,59.0461,0.8358,24.4448,,0.0119,0.5383,9.1624,0.0135,3.3331,,4.9626,1.1723,0.0128,103.6929,Invalid,CR2B1_2 PT4
13 / 1 . ,0.4622,52.3544,1.9919,14.5638,,0.0135,3.1462,6.5875,0.141,8.0401,,3.1028,1.8278,0.0127,92.244,Plagioclase,CR2B1_2 PT5
14 / 1 . ,0.1108,58.3625,0.3385,27.0158,,0.0239,0.2963,9.7757,0.0241,1.539,,5.3242,0.5628,0.0097,103.3833,Invalid,CR2B1_2 PT6
16 / 1 . ,0.5981,54.1172,2.7087,12.2647,,0.0009,1.438,4.5669,0.1545,9.7022,,2.998,2.5702,0.0067,91.1261,Glass,CR2B1_2 PT8
17 / 1 . ,0.712,59.7501,3.3058,12.3464,,0.0192,1.9501,4.7207,0.145,11.7141,,3.5835,2.7448,0.027,101.0188,Invalid,CR2B1_2 PT9
