Formula,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,Na2O,K2O,S,Mo,Total,"O=S , Mo",Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,Geo Specie
7 / 30 . ,0.3073,53.6848,1.9883,16.4578,0.0462,0.0442,4.345,7.8652,0.1549,9.066,3.2044,1.2816,0.0169,0.5908,99.0533,0.0535,98.9998,-9059,-30866,195, , ,CR5_PT30,7200.44,12.51,167,9/17/2020 8:52,Glass (on the basis of 24 O)
7 / 31 . ,0.2798,53.1054,2.0396,16.3636,0.0791,0.0409,4.5557,7.9838,0.1562,9.6471,3.1533,1.242,0.0085,0.4462,99.1011,0.0393,99.0618,-8912,-31161,195, , ,CR5_PT31,7509.8,12.5437,168,9/17/2020 8:58,Glass (on the basis of 24 O)
8 / 1 . ,0.2642,54.2176,2.217,14.6914,0.0543,0.0288,5.3186,6.9449,0.1509,9.7833,2.834,1.27,0.0226,0.5656,98.3631,0.0528,98.3103,-6655,-27295,192, , ,CR6_PT1,7794.15,12.467,169,9/17/2020 9:04,Glass (on the basis of 24 O)
8 / 2 . ,0.314,52.3773,2.1575,15.2953,0.0315,0.0131,5.5151,7.8413,0.1978,10.1615,2.7488,1.0786,0.0037,0.8493,98.5848,0.0717,98.5131,-6479,-27256,192, , ,CR6_PT2,7961.21,12.6579,170,9/17/2020 9:11,Glass (on the basis of 24 O)
8 / 3 . ,0.316,54.1914,2.1922,15.1265,0.0611,0.0344,5.0986,6.9022,0.1553,9.7692,2.8958,1.3596,0,0.4756,98.5779,0.0397,98.5382,-6702,-26994,192, , ,CR6_PT3,7701.92,12.4614,171,9/17/2020 9:17,Glass (on the basis of 24 O)
8 / 4 . ,0.3141,53.4609,2.0349,15.1478,0.032,0.0104,5.17,7.6687,0.1622,9.5584,2.8363,1.1543,0.0168,1.0743,98.6412,0.0938,98.5474,-6659,-26404,192, , ,CR6_PT4,7688.49,12.6525,172,9/17/2020 9:23,Glass (on the basis of 24 O)
8 / 5 . ,0.3065,54.0721,2.048,16.9226,0.0445,0.0191,4.151,7.7343,0.1516,8.3373,3.1319,1.2592,0.0037,0.6778,98.8596,0.0574,98.8021,-6595,-26194,192, , ,CR6_PT5,7743.36,12.4263,173,9/17/2020 9:29,Glass (on the basis of 24 O)
8 / 6 . ,0.3113,53.2669,1.9096,12.7792,0.0423,0.0712,7.2621,8.6531,0.1602,9.47,2.4258,1.0358,0.0053,0.9832,98.3761,0.0833,98.2928,-6595,-25856,192, , ,CR6_PT6,7740.79,12.6307,174,9/17/2020 9:35,Glass (on the basis of 24 O)
8 / 7 . ,0.2629,52.9727,1.6237,12.4716,0.0362,0.0808,8.8232,8.9401,0.1633,9.1478,2.3219,0.9222,0.0116,0.9365,98.7144,0.081,98.6334,-6291,-25684,192, , ,CR6_PT7,8048.95,12.6059,175,9/17/2020 9:41,Glass (on the basis of 24 O)
8 / 8 . ,0.2817,53.5281,1.7343,11.5138,0.0473,0.0857,9.4137,8.9572,0.1629,9.5929,2.3284,0.8323,0.0058,0.6585,99.1426,0.0564,99.0862,-6090,-25684,192, , ,CR6_PT8,8249.83,12.6168,176,9/17/2020 9:47,Glass (on the basis of 24 O)
8 / 9 . ,0.1985,52.6711,1.4715,14.6852,0.0395,0.0476,7.8076,8.8604,0.1311,9.3471,2.434,0.9221,0.0042,0.4765,99.0964,0.0408,99.0556,-5985,-26042,192, , ,CR6_PT9,8350.35,12.5063,177,9/17/2020 9:53,Glass (on the basis of 24 O)
8 / 10 . ,0.2873,53.9922,1.6172,15.6064,0.0284,0.0319,6.475,8.33,0.1138,8.4173,2.8551,1.1275,0.0026,0.3724,99.257,0.0317,99.2253,-5906,-26188,192, , ,CR6_PT10,8431.93,12.3753,178,9/17/2020 9:59,Glass (on the basis of 24 O)
8 / 11 . ,0.199,52.7092,1.5203,9.7103,0.0393,0.1326,11.7303,8.8907,0.1738,11.0566,2.0051,0.6971,0.0158,0.3845,99.2646,0.036,99.2286,-5647,-26188,192, , ,CR6_PT11,8690.84,12.6842,179,9/17/2020 10:05,Glass (on the basis of 24 O)
8 / 12 . ,0.284,53.1608,1.6491,11.0178,0.0324,0.0836,10.0286,8.6768,0.1769,10.3815,2.1862,0.8005,0,0.5783,99.0563,0.0482,99.0081,-5595,-26613,192, , ,CR6_PT12,8763.92,12.6452,180,9/17/2020 10:11,Glass (on the basis of 24 O)
8 / 13 . ,0.4006,54.8734,2.107,15.088,0.0751,0.0322,4.6116,7.0734,0.1471,9.2425,3.1255,1.4753,0.0074,0.5136,98.7725,0.0447,98.7278,-5285,-26888,192, , ,CR6_PT13,9096.85,12.4502,181,9/17/2020 10:17,Glass (on the basis of 24 O)
8 / 14 . ,0.333,53.9879,1.7997,14.102,0.0242,0.0579,7.1456,6.9737,0.1529,9.7892,2.8295,1.0412,0.0053,0.8241,99.0659,0.07,98.9959,-5073,-27201,192, , ,CR6_PT14,9343.98,12.5815,182,9/17/2020 10:23,Glass (on the basis of 24 O)
8 / 15 . ,0.3237,53.2941,2.0036,13.0836,0.0452,0.0104,6.6184,9.9452,0.1664,9.2662,2.527,0.9202,0.0016,0.759,98.9646,0.0637,98.9009,-4789,-26515,192, , ,CR6_PT15,9561.78,12.6713,183,9/17/2020 10:29,Glass (on the basis of 24 O)
8 / 16 . ,0.3917,54.5928,2.1263,15.2256,0.0496,0.0159,4.4918,7.4803,0.1592,9.0875,3.0153,1.3949,0.0184,0.8829,98.9322,0.0782,98.854,-4794,-26289,192, , ,CR6_PT16,9546.47,12.5843,184,9/17/2020 10:35,Glass (on the basis of 24 O)
8 / 17 . ,0.3365,53.8426,2.1019,14.929,0.0512,0.0475,4.9075,7.4893,0.141,9.3607,2.956,1.2493,0.0058,1.0017,98.4201,0.085,98.3351,-4870,-26087,192, , ,CR6_PT17,9465.78,12.5857,185,9/17/2020 10:41,Glass (on the basis of 24 O)
8 / 18 . ,0.3459,52.6541,2.1983,15.1635,0.0376,0.0302,5.5094,7.9786,0.1417,10.4296,2.8363,1.108,0.0016,0.4601,98.8951,0.0388,98.8563,-5070,-26087,192, , ,CR6_PT18,9265.8,12.6078,186,9/17/2020 10:47,Glass (on the basis of 24 O)
8 / 19 . ,0.3335,53.9931,1.9838,15.0754,0.0509,0.0408,5.2898,7.8864,0.1442,9.3358,2.9601,1.189,0.0026,0.5507,98.8361,0.0466,98.7896,-5185,-25952,192, , ,CR6_PT19,9150.02,12.4975,187,9/17/2020 10:53,Glass (on the basis of 24 O)
8 / 20 . ,0.3246,53.883,1.9194,15.0505,0.0488,0.0349,5.5027,7.7849,0.1895,9.3329,2.7312,1.183,0.01,0.8037,98.7989,0.0695,98.7294,-5365,-25558,192, , ,CR6_PT20,8979.28,12.5672,188,9/17/2020 10:59,Glass (on the basis of 24 O)
8 / 21 . ,0.3329,53.5078,1.931,15.6558,0.0566,0.0426,5.4127,7.7122,0.1353,8.891,2.713,1.096,0.009,0.9052,98.4011,0.0777,98.3234,-5867,-25097,192, , ,CR6_PT21,8512.48,12.4924,189,9/17/2020 11:05,Glass (on the basis of 24 O)
8 / 22 . ,0.2786,53.726,1.6687,17.9469,0.0363,0.0373,4.3433,7.7069,0.1142,7.7903,3.3599,1.2858,0.0048,0.4658,98.7645,0.04,98.7245,-5083,-25136,192, , ,CR6_PT22,9289.16,12.2609,190,9/17/2020 11:11,Glass (on the basis of 24 O)
8 / 23 . ,0.4164,54.2303,2.3704,15.5556,0.055,0,3.5167,7.336,0.1248,8.7808,3.1961,1.3259,0,1.4303,98.3384,0.1193,98.2191,-5520,-24898,192, , ,CR6_PT23,8879.47,12.6529,191,9/17/2020 11:17,Glass (on the basis of 24 O)
8 / 24 . ,0.2258,52.3872,1.5999,13.3288,0.0361,0.0638,8.7941,8.5288,0.164,9.6564,2.3326,0.8475,0.0058,0.7922,98.763,0.0675,98.6955,-6061,-24680,192, , ,CR6_PT24,8373.35,12.5902,192,9/17/2020 11:23,Glass (on the basis of 24 O)
8 / 25 . ,0.3038,53.2427,1.8987,14.1695,0.052,0.0461,6.7445,7.8691,0.1444,9.9647,2.5573,1.0217,0,0.5355,98.5502,0.0447,98.5055,-6003,-25034,192, , ,CR6_PT25,8383.97,12.5132,193,9/17/2020 11:29,Glass (on the basis of 24 O)
8 / 26 . ,0.28,53.2942,1.9377,13.6802,0.0315,0.0294,7.3328,8.073,0.1821,10.2087,2.3848,0.9136,0.0137,0.4664,98.828,0.0423,98.7857,-5785,-25257,192, , ,CR6_PT26,8579.35,12.5583,194,9/17/2020 11:35,Glass (on the basis of 24 O)
8 / 27 . ,0.2944,53.2031,1.818,13.5688,0.0598,0.0632,7.6881,8.1152,0.2109,10.4656,2.4637,0.936,0,0.3825,99.2693,0.0319,99.2374,-5476,-25588,192, , ,CR6_PT27,8867.07,12.611,195,9/17/2020 11:41,Glass (on the basis of 24 O)
8 / 28 . ,0.3722,53.8145,2.043,15.1566,0.0546,0.0322,5.1367,7.8292,0.1763,9.2713,2.8884,1.2093,0.0126,0.7696,98.7665,0.0673,98.6992,-5175,-26003,192, , ,CR6_PT28,9160.08,12.5568,196,9/17/2020 11:47,Glass (on the basis of 24 O)
8 / 29 . ,0.3601,54.2223,2.1327,16.3465,0.0415,0,3.8269,7.5443,0.1342,8.741,3.0538,1.3666,0.019,0.9477,98.7366,0.0838,98.6528,-4803,-26342,192, , ,CR6_PT29,9539.42,12.542,197,9/17/2020 11:53,Glass (on the basis of 24 O)
8 / 30 . ,0.3218,53.5169,1.8667,13.9511,0.0451,0.0389,6.466,7.9081,0.1591,9.8152,2.7376,1.1482,0.0058,0.8763,98.8568,0.0745,98.7823,-6797,-26481,192, , ,CR6_PT30,7555.58,12.6466,198,9/17/2020 11:59,Glass (on the basis of 24 O)
9 / 1 . ,0.3069,53.5095,2.1875,14.4609,0.0517,0.0059,5.1163,7.6116,0.1576,10.0545,2.9142,1.2544,0.0237,0.9436,98.5982,0.0846,98.5136,-6999,-23254,178, , ,CR7_PT1,7821.24,12.676,199,9/17/2020 12:05,Glass (on the basis of 24 O)
9 / 2 . ,0.3231,53.2793,2.2592,14.3456,0.0468,0.0308,5.3881,7.1104,0.1592,9.9007,3.0502,1.3363,0,1.0709,98.3006,0.0893,98.2113,-7426,-23431,178, , ,CR7_PT2,7359.38,12.6451,200,9/17/2020 12:11,Glass (on the basis of 24 O)
9 / 3 . ,0.5056,53.3496,1.9934,16.8779,0.0491,0.0109,3.9701,7.4472,0.139,8.694,3.3133,1.4997,0.0154,0.4175,98.2826,0.0386,98.2439,-7885,-23597,178, , ,CR7_PT3,6871.29,12.3174,201,9/17/2020 12:17,Glass (on the basis of 24 O)
9 / 4 . ,0.367,53.7724,2.2008,15.6543,0.0666,0.0313,3.822,6.755,0.1528,9.4656,3.0864,1.5631,0,1.0117,97.949,0.0844,97.8646,-8013,-22901,178, , ,CR7_PT4,7025.8,12.5358,202,9/17/2020 12:24,Glass (on the basis of 24 O)
9 / 5 . ,0.3152,54.7907,2.0361,16.5355,0.054,0.0177,3.7405,6.7083,0.1192,9.0235,3.2053,1.5459,0.0069,0.6291,98.7279,0.0542,98.6737,-8027,-22540,178, , ,CR7_PT5,7178.33,12.4311,203,9/17/2020 12:30,Glass (on the basis of 24 O)
9 / 6 . ,0.32,53.0384,2.1787,15.7334,0.0607,0.0358,4.1339,6.9329,0.1569,9.9318,3.0567,1.4636,0.0005,0.9238,97.9672,0.0772,97.89,-8174,-22480,178, , ,CR7_PT6,7078.85,12.5644,204,9/17/2020 12:36,Glass (on the basis of 24 O)
9 / 7 . ,0.3831,54.2187,2,15.8702,0.0473,0.0191,4.0241,6.891,0.127,9.0078,3.2173,1.4862,0.0016,1.5361,98.8295,0.1285,98.701,-8259,-22163,178, , ,CR7_PT7,7168.03,12.7282,205,9/17/2020 12:42,Glass (on the basis of 24 O)
9 / 8 . ,0.4295,55.2538,2.2705,14.4388,0.0679,0.0154,4.236,6.86,0.1479,9.3425,3.1589,1.6186,0.0111,0.9068,98.7578,0.0784,98.6794,-8438,-21770,178, , ,CR7_PT8,7237.48,12.5891,206,9/17/2020 12:48,Glass (on the basis of 24 O)
9 / 9 . ,0.2409,53.7367,1.2819,19.2821,0.0444,0.0238,3.9575,8.2419,0.095,7.0009,3.38,1.3112,0.0085,0.6884,99.2931,0.0595,99.2336,-8556,-21757,178, , ,CR7_PT9,7149.3,12.3069,207,9/17/2020 12:54,Glass (on the basis of 24 O)
9 / 10 . ,0.3711,54.1696,1.9741,15.7458,0.042,0.0336,4.0377,7.5383,0.1296,5.128,1.5134,0.5591,0.0085,0.9174,92.1684,0.0786,92.0898,-8840,-20984,169, , ,CR7_PT10,7417.25,11.3701,208,9/17/2020 13:00,Glass (on the basis of 24 O)
9 / 11 . ,0.3458,54.1919,1.817,15.7652,0.049,0.0141,5.293,7.4253,0.1666,8.7288,3.0776,1.2826,0.0101,0.7222,98.8891,0.0627,98.8264,-8912,-20984,171, , ,CR7_PT11,7364.06,12.4574,209,9/17/2020 13:06,Glass (on the basis of 24 O)
9 / 12 . ,0,0.0618,0.0094,0.0393,0.0016,0.0105,0.0012,0.0143,0.0025,0.0578,0,0,0.0968,0,0.2953,0.0242,0.2711,-8734,-22341,178, , ,CR7_PT12,6671.72,0.0422,210,9/17/2020 13:12,Glass (on the basis of 24 O)
9 / 13 . ,0,0.2257,0.0108,0.0714,0.0187,0.0166,0.0197,0.0388,0.0121,0.0722,0.0015,0.0116,0.1049,0,0.6039,0.0262,0.5777,-8698,-22514,178, , ,CR7_PT13,6610,0.0844,211,9/17/2020 13:18,Glass (on the basis of 24 O)
9 / 14 . ,0.3639,54.2348,2.0519,16.4914,0.0487,0.0041,3.57,7.6305,0.1448,7.6951,3.4125,1.4585,0.0085,1.1801,98.2949,0.1005,98.1944,-9128,-22252,178, , ,CR7_PT14,6395.83,12.4571,212,9/17/2020 13:24,Glass (on the basis of 24 O)
9 / 15 . ,0.0051,0.0372,0,0.0178,0.0131,0.005,0,0.0045,0.0077,0.0036,0,0.0041,0.1346,0,0.2326,0.0336,0.199,-9190,-22775,178, , ,CR7_PT15,6054.22,0.0286,213,9/17/2020 13:30,Glass (on the basis of 24 O)
9 / 16 . ,0,0.038,0.0004,0.0232,0.0048,0,0.0018,0,0,0.0259,0.0067,0,0.0699,0,0.1707,0.0174,0.1532,-9097,-22844,178, , ,CR7_PT16,6097.83,0.0135,214,9/17/2020 13:36,Glass (on the basis of 24 O)
9 / 17 . ,0.0016,0.0445,0,0.0111,0,0,0,0.0076,0,0.0278,0.004,0,0.0747,0.0007,0.172,0.0187,0.1533,-8967,-22917,178, , ,CR7_PT17,6173.48,0.0223,215,9/17/2020 13:42,Glass (on the basis of 24 O)
9 / 18 . ,0.0073,0.0466,0.019,0.0184,0,0.005,0.0038,0.0016,0,0.0806,0,0,0.0643,0.0126,0.2594,0.0171,0.2422,-7654,-22229,178, , ,CR7_PT18,7655.13,0.0409,216,9/17/2020 13:48,Glass (on the basis of 24 O)
9 / 19 . ,0.3946,55.8696,1.9422,15.4477,0.0713,0.0223,4.2354,6.4684,0.1292,8.4265,3.2882,1.7568,0.0106,0.9114,98.9743,0.0786,98.8957,-7605,-21912,178, , ,CR7_PT19,7856.71,12.4757,217,9/17/2020 13:54,Glass (on the basis of 24 O)
9 / 20 . ,0.2253,54.004,2.1793,14.2437,0.0542,0.048,5.112,6.922,0.1513,10.1615,2.9321,1.3868,0.0206,1.1358,98.5767,0.0998,98.4768,-7247,-21929,178, , ,CR7_PT20,8157.03,12.7165,218,9/17/2020 14:00,Glass (on the basis of 24 O)
9 / 21 . ,0,0.046,0.0012,0.024,0.0042,0.0095,0,0.0172,0.0117,0.1102,0.0115,0.0067,0.0919,0,0.3341,0.0229,0.3111,-7012,-21803,178, , ,CR7_PT21,8423.59,0.0361,219,9/17/2020 14:06,Glass (on the basis of 24 O)
9 / 22 . ,0.0035,0.0838,0.0079,0.0554,0.0053,0.0123,0.0134,0.0194,0,0.0111,0.006,0.004,0.0953,0,0.3173,0.0238,0.2935,-6465,-21871,178, , ,CR7_PT22,8871.64,0.0368,220,9/17/2020 14:12,Glass (on the basis of 24 O)
9 / 23 . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6608,-20923,172, , ,CR7_PT23,9227.05,0,221,9/17/2020 14:18,Glass (on the basis of 24 O)
9 / 24 . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,., , ,CR7_PT24,29660.72,0,222,9/16/2020 16:08,Glass (on the basis of 24 O)
9 / 25 . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,., , ,CR7_PT25,29660.72,0,223,9/16/2020 16:08,Glass (on the basis of 24 O)
9 / 26 . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,., , ,CR7_PT26,29660.72,0,224,9/16/2020 16:08,Glass (on the basis of 24 O)
9 / 27 . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,., , ,CR7_PT27,29660.72,0,225,9/16/2020 16:08,Glass (on the basis of 24 O)
9 / 28 . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,., , ,CR7_PT28,29660.72,0,226,9/16/2020 16:08,Glass (on the basis of 24 O)
10 / 1 . ,0.34,52.7404,2.2489,16.2624,0.0514,0.0314,4.4122,8.0395,0.1305,9.0844,3.2704,1.2513,0.009,0.9724,98.844,0.0833,98.7607,-8840,-20984,169, , ,CR7_PT29,7417.25,12.6273,227,9/17/2020 14:40,Glass (on the basis of 24 O)
10 / 2 . ,0.3011,53.5093,1.9491,16.3997,0.0383,0.0319,4.3403,7.6987,0.1236,8.5831,3.3366,1.3255,0,0.805,98.4422,0.0671,98.3751,-8912,-20984,171, , ,CR7_PT30,7364.06,12.4407,228,9/17/2020 14:46,Glass (on the basis of 24 O)
10 / 3 . ,0.3351,52.3613,2.1263,13.5998,0.0516,0.0525,6.8235,7.039,0.1789,10.378,2.8281,1.3186,0.0263,1.0003,98.1194,0.09,98.0294,-8734,-22341,178, , ,CR7_PT31,6671.72,12.6471,229,9/17/2020 14:52,Glass (on the basis of 24 O)
10 / 4 . ,0.3181,53.0875,2.1008,14.1649,0.0513,0.0358,6.3276,7.0445,0.1591,10.2241,3.0103,1.3603,0.0047,0.8513,98.7404,0.0722,98.6683,-8698,-22514,178, , ,CR7_PT32,6610,12.6474,230,9/17/2020 14:58,Glass (on the basis of 24 O)
10 / 5 . ,0.3575,54.418,1.9589,14.3791,0.0428,0.039,6.2154,6.6552,0.1538,9.4722,3.0082,1.4042,0.0053,0.8658,98.9753,0.0735,98.9018,-9128,-22252,172, , ,CR7_PT33,6395.84,12.5649,231,9/17/2020 15:04,Glass (on the basis of 24 O)
10 / 6 . ,0.3678,53.9895,2.1386,13.4936,0.0545,0.0389,6.9442,6.6075,0.2025,10.81,2.8282,1.2994,0.0053,0.3814,99.1614,0.0331,99.1283,-9190,-22775,178, , ,CR7_PT34,6054.22,12.5897,232,9/17/2020 15:10,Glass (on the basis of 24 O)
10 / 7 . ,0.3349,54.1502,1.4874,14.8843,0.0251,0.0136,6.4806,6.7635,0.1754,9.4205,2.9748,1.2985,0.0074,0.7539,98.7701,0.0647,98.7054,-9097,-22844,178, , ,CR7_PT35,6097.83,12.4725,233,9/17/2020 15:16,Glass (on the basis of 24 O)
10 / 8 . ,0.3352,54.1272,1.4501,17.6472,0.0467,0.0132,4.8854,7.0534,0.1328,7.8228,3.3463,1.382,0.0011,0.6759,98.9192,0.0566,98.8626,-8971,-22877,174, , ,CR7_PT36,6189.87,12.302,234,9/17/2020 15:22,Glass (on the basis of 24 O)
10 / 9 . ,0.3562,56.2802,1.6853,16.4695,0.0302,0.0279,4.3573,6.5773,0.1261,7.9774,3.4928,1.6066,0.0101,0.5162,99.5129,0.0456,99.4674,-7690,-22170,172, , ,CR7_PT37,7652.83,12.3364,235,9/17/2020 15:28,Glass (on the basis of 24 O)
10 / 10 . ,0.2997,55.258,1.2545,17.3039,0.0191,0.0165,4.5441,7.0047,0.1047,7.4718,3.5474,1.4795,0.0112,0.3859,98.7009,0.035,98.6659,-7605,-21912,178, , ,CR7_PT38,7856.71,12.1376,236,9/17/2020 15:34,Glass (on the basis of 24 O)
10 / 11 . ,0.2906,54.1467,1.9522,15.6493,0.0499,0.0205,4.7784,7.735,0.1649,8.7399,3.0561,1.3699,0.0058,0.5809,98.54,0.0499,98.4902,-7247,-21929,178, , ,CR7_PT39,8157.03,12.4102,237,9/17/2020 15:40,Glass (on the basis of 24 O)
10 / 12 . ,0.248,55.8695,1.9915,14.6588,0.0553,0.0018,5.0587,7.8091,0.1464,8.7215,2.9827,1.3712,0.0074,0.5273,99.4492,0.0458,99.4034,-7012,-21803,170, , ,CR7_PT40,8423.6,12.4941,238,9/17/2020 15:46,Glass (on the basis of 24 O)
10 / 13 . ,0.2733,53.1605,2.4221,15.8098,0.0488,0.0448,4.2457,7.3188,0.147,10.4104,3.169,1.3077,0.0169,0.5582,98.933,0.0508,98.8823,-6465,-21871,178, , ,CR7_PT41,8871.64,12.6325,239,9/17/2020 15:52,Glass (on the basis of 24 O)
10 / 14 . ,0.2557,54.2048,2.2102,14.5439,0.0682,0.0399,5.637,7.2692,0.1616,10.1504,2.8224,1.286,0.01,0.7642,99.4235,0.0662,99.3573,-6608,-20902,171, , ,CR7_PT42,9238.55,12.7053,240,9/17/2020 15:58,Glass (on the basis of 24 O)
10 / 15 . ,0.1936,54.0057,2.5769,14.7685,0.0632,0.0422,4.8365,6.8722,0.143,10.0516,2.8577,1.4318,0.0121,0.6703,98.5254,0.0589,98.4665,-6845,-20923,171, , ,CR7_PT43,9029.51,12.5752,241,9/17/2020 16:04,Glass (on the basis of 24 O)
10 / 16 . ,0.3372,53.5792,2.0189,14.7151,0.0489,0.0295,5.583,7.0905,0.1579,10.0158,3.021,1.4717,0.019,0.7079,98.7955,0.0638,98.7317,-7330,-20898,175, , ,CR7_PT44,8646.08,12.5924,242,9/17/2020 16:10,Glass (on the basis of 24 O)
10 / 17 . ,0.3507,53.8172,1.9416,14.2927,0.0522,0.0032,5.7732,7.098,0.1516,9.5957,3.0483,1.4093,0.0069,0.8953,98.4358,0.0764,98.3594,-7802,-20739,174, , ,CR7_PT45,8366.7,12.5538,243,9/17/2020 16:16,Glass (on the basis of 24 O)
10 / 18 . ,0.2711,53.8186,1.4533,18.1373,0.0464,0.0078,4.1561,8.2446,0.1244,7.1395,3.3654,1.2199,0.0058,0.7396,98.7301,0.0631,98.6669,-8436,-20663,169, , ,CR7_PT46,7932.22,12.2845,244,9/17/2020 16:22,Glass (on the basis of 24 O)
10 / 19 . ,0.2784,54.2614,1.6569,16.7159,0.0405,0.0237,5.0149,7.4511,0.129,8.1329,3.291,1.2864,0.0101,0.9049,99.197,0.078,99.1191,-8562,-20691,165, , ,CR7_PT47,7820.07,12.4683,245,9/17/2020 16:28,Glass (on the basis of 24 O)
11 / 1 . ,0.059,47.3421,0.9365,14.9566,0.071,0.0706,10.2383,12.8939,0.1791,10.4664,1.5046,0.0142,0.0119,0.7822,99.5264,0.0682,99.4582,-13361,-26153,178, , ,H9 BIR-1,991.8,12.9235,246,9/17/2020 16:34,Glass (on the basis of 24 O)
11 / 2 . ,0.0571,47.225,0.9576,15.174,0.0592,0.0747,9.7573,13.0138,0.1646,10.3178,1.7968,0.0208,0.015,0.5625,99.1962,0.0507,99.1456,-13435,-25845,178, , ,H9 BIR-1,908.11,12.8091,247,9/17/2020 16:41,Glass (on the basis of 24 O)
11 / 3 . ,0.0378,47.6032,0.9277,15.058,0.0576,0.0532,10.0827,13.0424,0.1733,10.3175,1.6877,0.0099,0.0151,0.2163,99.2824,0.0218,99.2606,-13577,-25845,177, , ,H9 BIR-1,767.61,12.7082,248,9/17/2020 16:47,Glass (on the basis of 24 O)
11 / 4 . ,0.0357,47.4858,0.9891,15.4663,0.0483,0.0644,9.8426,12.9564,0.2025,10.4966,1.7782,0.0222,0.0068,0.2168,99.6116,0.0198,99.5918,-13274,-25606,178, , ,H9 BIR-1,1120.42,12.7658,249,9/17/2020 16:53,Glass (on the basis of 24 O)
11 / 5 . ,0.0679,47.9227,0.9423,15.4918,0.061,0.0817,9.7357,12.8058,0.1599,10.165,1.7426,0.0331,0.0005,0.3764,99.5861,0.0315,99.5546,-13269,-25280,172, , ,H9 BIR-1,1267.7,12.7634,250,9/17/2020 16:59,Glass (on the basis of 24 O)
11 / 6 . ,0.0353,47.51,1.0852,15.3654,0.0495,0.0703,9.8639,12.8586,0.2025,10.8131,1.7761,0.0279,0.0172,0.0008,99.6758,0.0044,99.6714,-14040,-26274,178, , ,H9 BIR-1,426.5,12.742,251,9/17/2020 17:05,Glass (on the basis of 24 O)
11 / 7 . ,0.0315,47.585,1.0251,15.3936,0.0815,0.0867,9.747,12.9746,0.2091,10.4525,1.821,0.0293,0.0193,0.0485,99.5046,0.0089,99.4957,-14386,-26224,178, , ,H9 BIR-1,263.02,12.7061,252,9/17/2020 17:11,Glass (on the basis of 24 O)
11 / 8 . ,0.037,47.34,0.9354,15.9669,0.0615,0.0614,9.5929,12.9474,0.1803,10.2481,1.8866,0.0227,0.0141,0.0132,99.3075,0.0046,99.3029,-14801,-26097,177, , ,H9 BIR-1,484.09,12.6365,253,9/17/2020 17:17,Glass (on the basis of 24 O)
11 / 9 . ,0.0324,47.7341,1,15.2004,0.0652,0.0578,9.8272,13.3654,0.1604,10.1998,1.8051,0.0236,0.0099,0.0957,99.577,0.0105,99.5666,-13846,-27182,182, , ,H9 BIR-1,1310.64,12.7122,254,9/17/2020 17:23,Glass (on the basis of 24 O)
11 / 10 . ,0.0571,47.5967,0.9235,15.5929,0.0618,0.0727,9.6147,12.9791,0.1927,10.0828,1.7558,0.0308,0.0073,0.6413,99.609,0.0553,99.5537,-13918,-27535,179, , ,H9 BIR-1,1623.47,12.8514,255,9/17/2020 17:29,Glass (on the basis of 24 O)
