Formula,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,ZnO,Na2O,K2O,S,Total,O=S,Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,Geo Specie
6 / 1 . ,0.0543,62.9827,0.1022,22.7186,,0.0126,0.0134,4.826,0,0.6176,,7.991,1.5198,0.008,100.8461,0.002,100.8441,13168,-24122,393, , ,CR72_1 Pt7,105.68,11.2641,6,2/25/2020 12:18,Glass (on the basis of 24 O)
7 / 1 . ,0.0255,78.7706,0.1977,13.7389,,0,0.0177,0.8552,0.006,0.4341,,3.1699,3.6166,0,100.8322,0,100.8322,13099,-24110,393, , ,CR72_1 Pt8,36,11.1895,7,2/25/2020 12:27,Glass (on the basis of 24 O)
8 / 1 . ,0,83.4268,0.2577,9.0999,,0.0149,0.0253,0.1981,0.0076,0.5393,,1.3747,5.6335,0.0209,100.5987,0.0052,100.5934,13142,-24057,393, , ,CR72_1 Pt9,95.13,11.2904,8,2/25/2020 12:38,Glass (on the basis of 24 O)
9 / 1 . ,0,97.171,0.2014,1.2185,,0.0092,0,0.0796,0.0128,0.2871,,0.5147,0.308,0.0055,99.808,0.0014,99.8066,-2186,-24228,301, , ,CR72_2 Pt1,15249.73,10.8477,9,2/25/2020 14:01,Glass (on the basis of 24 O)
18 / 1 . ,0.0099,62.5985,0.087,24.8989,,0.033,0.0238,6.2859,0.0071,0.6899,,7.2905,1.1315,0.0148,103.0708,0.0037,103.0671,-2374,-24347,301, , ,CR72_2 Pt10,15439.09,11.5753,18,2/25/2020 15:42,Glass (on the basis of 24 O)
19 / 1 . ,0,86.4107,0.268,7.2514,,0.0112,0.0044,0.2774,0,0.3275,,1.3759,3.8415,0.0178,99.7858,0.0044,99.7814,-2318,-24322,301, , ,CR72_2 Pt11,15382.74,11.0725,19,2/25/2020 15:54,Glass (on the basis of 24 O)
10 / 1 . ,0.0272,85.0538,0.3822,7.8386,,0.0547,0.0215,0.6099,0.0254,0.5174,,2.329,2.2335,0.0124,99.1056,0.0031,99.1025,-2306,-24290,301, , ,CR72_2 Pt2,15370.33,10.9455,10,2/25/2020 14:11,Glass (on the basis of 24 O)
11 / 1 . ,0.0056,98.1078,0.1037,1.349,,0.0206,0.0429,0.114,0,0.546,,0.6187,0.0138,0.0045,100.9266,0.0011,100.9255,-2346,-24243,301, , ,CR72_2 Pt3,15409.85,10.972,11,2/25/2020 14:19,Glass (on the basis of 24 O)
12 / 1 . ,0.023,98.3925,0.2034,1.2178,,0.0176,0.0077,0.11,0.0152,0.235,,0.5845,0.0471,0.0022,100.856,0.0006,100.8554,-2426,-24289,301, , ,CR72_2 Pt4,15490.31,10.9419,12,2/25/2020 14:28,Glass (on the basis of 24 O)
13 / 1 . ,0.0082,78.1471,0.2902,12.4988,,0.0112,0.0196,1.1344,0.0486,0.3474,,3.5919,4.1816,0.0022,100.2813,0.0005,100.2807,-2324,-24352,301, , ,CR72_2 Pt5,15389.18,11.1855,13,2/25/2020 14:36,Glass (on the basis of 24 O)
14 / 1 . ,0.0022,84.5479,0.2538,8.6207,,0.0088,0.0127,0.5912,0,0.2957,,2.6979,2.8705,0.0186,99.9199,0.0046,99.9152,-2256,-24276,301, , ,CR72_2 Pt6,15320.18,11.0255,14,2/25/2020 14:49,Glass (on the basis of 24 O)
15 / 1 . ,0.0387,59.9357,0.1318,24.809,,0.0203,0.0486,6.9538,0.0346,0.7679,,7.0826,0.9892,0,100.8121,0,100.8121,-2275,-24338,301, , ,CR72_2 Pt7,15339.97,11.374,15,2/25/2020 14:59,Glass (on the basis of 24 O)
16 / 1 . ,0.0337,71.8265,0.2892,16.2759,,0,0.007,2.425,0,0.8578,,6.7254,0.5075,0.0069,98.9549,0.0017,98.9531,-2379,-24332,301, , ,CR72_2 Pt8,15443.87,10.9038,16,2/25/2020 15:08,Glass (on the basis of 24 O)
17 / 1 . ,0,90.9233,0.1605,4.8982,,0,0,0.1452,0,0.4159,,1.2215,2.8268,0.0111,100.6024,0.0028,100.5996,-2381,-24266,301, , ,CR72_2 Pt9,15445.06,11.0947,17,2/25/2020 15:20,Glass (on the basis of 24 O)
9 / 1 . ,0.0859,69.6451,0.2596,16.6827,,0.037,0.0002,1.2093,0.003,0.5033,,4.7022,6.9417,0.0163,100.0864,0.0041,100.0823,5141,-28541,358, , ,CR72_3 Pt1,53674.5,11.3445,9,2/27/2020 14:20,Glass (on the basis of 24 O)
10 / 1 . ,0.0144,55.6598,0.1107,27.2706,,0.0091,0.0675,10.2937,0,1.1584,,5.5723,0.4381,0.0095,100.6041,0.0024,100.6017,5324,-28560,358, , ,CR72_3 Pt2,53667.05,11.5488,10,2/27/2020 14:30,Glass (on the basis of 24 O)
11 / 1 . ,0.0387,61.281,0.1459,24.4759,,0,0.0336,6.5996,0,0.7257,,6.9325,0.9549,0.0285,101.2163,0.0071,101.2092,5332,-28550,358, , ,CR72_3 Pt3,53656.01,11.3867,11,2/27/2020 14:38,Glass (on the basis of 24 O)
12 / 1 . ,0.0852,56.0303,0.2135,26.6573,,0,0.0625,9.6872,0,1.1411,,5.603,0.4458,0,99.9258,0,99.9258,5115,-28655,358, , ,CR72_3 Pt4,53791.06,11.438,12,2/27/2020 14:47,Glass (on the basis of 24 O)
13 / 1 . ,0.0237,56.0463,0.1191,27.4429,,0.0048,0.1016,9.9847,0,0.9234,,5.6754,0.4412,0.0214,100.7845,0.0054,100.7792,5215,-28655,358, , ,CR72_3 Pt5,53776.62,11.5248,13,2/27/2020 14:55,Glass (on the basis of 24 O)
14 / 1 . ,0,96.2456,0.236,1.9053,,0.0271,0,0.1365,0,0.225,,0.4962,0.6581,0.027,99.9569,0.0067,99.9502,5313,-28633,358, , ,CR72_3 Pt6,53740.87,10.8803,14,2/27/2020 15:04,Glass (on the basis of 24 O)
15 / 1 . ,0,62.6082,0.0577,22.9437,,0.001,0.0142,4.715,0,0.5737,,7.671,1.5526,0.0115,100.1486,0.0029,100.1457,5280,-28527,358, , ,CR72_3 Pt7,53640.64,11.1733,15,2/27/2020 15:13,Glass (on the basis of 24 O)
